Id,Label
8270,Sam & Max 202: Moai Better Blues
8280,Sam & Max 203: Night of the Raving Dead
8290,Sam & Max 204: Chariots of the Dogs
8300,Sam & Max 205: What's New Beelzebub?
13210,Unreal Tournament 3: Black Edition
18500,Defense Grid: The Awakening
17470,Dead Space
17410,Mirror's Edge
24740,Burnout Paradise: The Ultimate Box
22200,Zeno Clash
500,Left 4 Dead
3590,Plants vs. Zombies: Game of the Year
37400,"Time Gentlemen, Please!"
37420,"Ben There, Dan That!"
40920,NBA 2K10
41500,Torchlight
550,Left 4 Dead 2
35140,Batman: Arkham Asylum GOTY Edition
40930,The Misadventures of P.B. Winterbottom
400,Portal
9500,Gish
22000,World of Goo
22180,Penumbra: Overture
24420,Aquaria
25010,Lugaru HD 
40720,Samorost 2
8980,Borderlands
26800,Braid
29180,Osmos
40700,Machinarium
93200,Revenge of the Titans
2500,Shadowgrounds
11200,Shadowgrounds: Survivor
35700,Trine
34330,Total War: SHOGUN 2
20920,The Witcher 2: Assassins of Kings Enhanced Edition
98200,Frozen Synapse
22650,Alien Breed 2: Assault
113200,The Binding of Isaac
72850,The Elder Scrolls V: Skyrim
55230,Saints Row: The Third
65800,Dungeon Defenders
102600,Orcs Must Die!
205790,Dota 2 Test
2400,The Ship
2420,The Ship Single Player
2430,The Ship Tutorial
67370,The Darkness II
108710,Alan Wake
201700,DiRT Showdown
96800,Nexuiz
216370,Nexuiz Beta
225760,Nexuiz STUPID Mode
207610,The Walking Dead
7670,BioShock
409710,BioShock Remastered
108800,Crysis 2 Maximum Edition
3830,Psychonauts
48000,LIMBO
57300,Amnesia: The Dark Descent
204060,Superbrothers: Sword & Sworcery EP
107100,Bastion
40800,Super Meat Boy
209830,Lone Survivor: The Director's Cut
202170,Sleeping Dogs™
200510,XCOM: Enemy Unknown
203140,Hitman: Absolution
8870,BioShock Infinite
47790,Medal of Honor(TM) Single Player
47830,Medal of Honor(TM) Multiplayer
250320,The Wolf Among Us
213670,South Park™: The Stick of Truth™
238320,Outlast
442080,Riders of Icarus
578080,PLAYERUNKNOWN'S BATTLEGROUNDS
334210,Fortified
220,Half-Life 2
240,Counter-Strike: Source
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
1200,Red Orchestra: Ostfront 41-45
1230,Mare Nostrum
1280,Darkest Hour: Europe '44-'45
3920,Sid Meier's Pirates!
12900,Audiosurf
34330,Total War: SHOGUN 2
55150,"Warhammer 40,000: Space Marine"
201290,Sins of a Solar Empire: Trinity
209080,Guns of Icarus Online
99910,Puzzle Pirates
109600,Neverwinter
219340,The Banner Saga: Factions
238960,Path of Exile
271290,HAWKEN
234650,Shadowrun Returns
48220,Might & Magic: Heroes VI
236850,Europa Universalis IV
214950,Total War: ROME II - Emperor Edition
218620,PAYDAY 2
251730,Legend of Grimrock 2
252950,Rocket League
260790,1001 Spikes
261640,Borderlands: The Pre-Sequel
261760,Lichdom: Battlemage
262060,Darkest Dungeon®
262280,Dungeons 2
230230,Divinity: Original Sin (Classic)
373420,Divinity: Original Sin Enhanced Edition
8930,Sid Meier's Civilization V
271590,Grand Theft Auto V
214490,Alien: Isolation
237990,The Banner Saga
238750,Might & Magic X - Legacy 
281990,Stellaris
283430,Litil Divil
290300,Rebel Galaxy
223450,Dyad
302240,Chernobyl Commando
304430,INSIDE
310510,Deathtrap
310560,DiRT Rally
240760,Wasteland 2
259130,Wasteland 1 - The Original Classic
404730,Wasteland 2: Director's Cut
227940,Heroes & Generals
316010,Magic Duels
320140,Absolute Drift
321040,DiRT 3 Complete Edition
322190,SteamWorld Heist
323190,Frostpunk
302510,Ryse: Son of Rome
239140,Dying Light
344760,Reign Of Kings
266510,Hand of Fate
357300,Snakebird
322330,Don't Starve Together
226860,Galactic Civilizations III
382050,Eon Altar
384190,ABZÛ
391540,Undertale
400180,Okhlos: Omega
423580,Project Highrise
268500,XCOM 2
210970,The Witness
431240,Golf With Your Friends
384490,Necropolis
364360,Total War: WARHAMMER
443810,This Is the Police
271240,Offworld Trading Company
289070,Sid Meier's Civilization VI
553960,Husk
558100,Art of War: Red Tides
588650,Dead Cells
609940,KROSMAGA
323580,Jotun: Valhalla Edition
368420,Mirage: Arcane Warfare
435150,Divinity: Original Sin 2
38400,Fallout
427460,Battlerite Public Test
504370,Battlerite
203770,Crusader Kings II
304390,For Honor
654310,For Honor - Public Test
730,Counter-Strike: Global Offensive
10,Counter-Strike
80,Counter-Strike: Condition Zero
100,Counter-Strike: Condition Zero Deleted Scenes
240,Counter-Strike: Source
300,Day of Defeat: Source
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
1200,Red Orchestra: Ostfront 41-45
1230,Mare Nostrum
1280,Darkest Hour: Europe '44-'45
17470,Dead Space
24740,Burnout Paradise: The Ultimate Box
22330,The Elder Scrolls IV: Oblivion 
12810,Overlord II
3720,Evil Genius
41500,Torchlight
550,Left 4 Dead 2
7670,BioShock
409710,BioShock Remastered
48700,Mount & Blade: Warband
8190,Just Cause 2
400,Portal
17410,Mirror's Edge
8980,Borderlands
4540,Titan Quest
475150,Titan Quest Anniversary Edition
34330,Total War: SHOGUN 2
2500,Shadowgrounds
11200,Shadowgrounds: Survivor
35700,Trine
620,Portal 2
95300,Capsized
42910,Magicka
105600,Terraria
20920,The Witcher 2: Assassins of Kings Enhanced Edition
18700,And Yet It Moves
26500,Cogs
26900,Crayon Physics Deluxe
41100,Hammerfight
55040,Atom Zombie Smasher 
70300,VVVVVV
96200,Steel Storm: Burning Retribution
35450,Rising Storm/Red Orchestra 2 Multiplayer
236830,Red Orchestra 2: Heroes of Stalingrad - Single Player
72850,The Elder Scrolls V: Skyrim
28050,Deus Ex: Human Revolution
24240,PAYDAY: The Heist
8930,Sid Meier's Civilization V
98100,TRAUMA
98200,Frozen Synapse
55230,Saints Row: The Third
65800,Dungeon Defenders
203810,Dear Esther
520720,Dear Esther: Landmark Edition
6120,Shank
40800,Super Meat Boy
63710,BIT.TRIP RUNNER
94200,Jamestown
99700,NightSky
205790,Dota 2 Test
38600,Faerie Solitaire
583930,Faerie Solitaire Remastered
22380,Fallout: New Vegas
207610,The Walking Dead
108800,Crysis 2 Maximum Edition
3830,Psychonauts
48000,LIMBO
57300,Amnesia: The Dark Descent
204060,Superbrothers: Sword & Sworcery EP
107100,Bastion
26800,Braid
209830,Lone Survivor: The Director's Cut
211420,DARK SOULS™: Prepare To Die Edition
204300,Awesomenauts
730,Counter-Strike: Global Offensive
49520,Borderlands 2
212680,FTL: Faster Than Light
220780,Thomas Was Alone
221260,Little Inferno
200710,Torchlight II
205100,Dishonored
214560,Mark of the Ninja
219640,Chivalry: Medieval Warfare
219150,Hotline Miami
8870,BioShock Infinite
200510,XCOM: Enemy Unknown
220240,Far Cry® 3
203140,Hitman: Absolution
205930,Hitman: Sniper Challenge
4560,Company of Heroes - Legacy Edition
9340,Company of Heroes: Opposing Fronts
20540,Company of Heroes: Tales of Valor
43110,Metro 2033
50620,Darksiders
55110,Red Faction: Armageddon
228200,Company of Heroes 
462780,Darksiders Warmastered Edition
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition"
113020,Monaco
219680,Proteus
220440,DmC Devil May Cry
238960,Path of Exile
220200,Kerbal Space Program
232910,TrackMania² Stadium
203160,Tomb Raider
1250,Killing Floor
35420,Killing Floor Mod: Defence Alliance 2
233270,Far Cry® 3 Blood Dragon
241600,Rogue Legacy
242760,The Forest
242920,Banished
218620,PAYDAY 2
47790,Medal of Honor(TM) Single Player
47830,Medal of Honor(TM) Multiplayer
252490,Rust
700580,Rust - Staging Branch
252950,Rocket League
219990,Grim Dawn
261570,Ori and the Blind Forest
271590,Grand Theft Auto V
213670,South Park™: The Stick of Truth™
236430,DARK SOULS™ II
294100,RimWorld
201810,Wolfenstein: The New Order
311690,Enter the Gungeon
327140,Tilt Brush
327690,Gigantic
333930,Dirty Bomb
