,friend_out
1004,76561197963876634
1005,76561197972100809
1006,76561197974553664
1007,76561197976404562
1008,76561197978431979
1009,76561197979975870
1010,76561197982933050
1011,76561197986461495
1012,76561197993298262
1013,76561197993757326
1014,76561197996410123
1015,76561198000510444
1016,76561198004062174
1017,76561198016938959
1018,76561198034070553
1019,76561197960869554
1020,76561197970345699
1021,76561197974232635
1022,76561197974553664
1023,76561197976066439
1024,76561197978522936
1025,76561197979975870
1026,76561197982544082
1027,76561197982715839
1028,76561197982933050
1029,76561197986461495
1030,76561197988334434
1031,76561197989254624
1032,76561197989807946
1033,76561197992151809
1034,76561197992309990
1035,76561197992876875
1036,76561197993298262
1037,76561197993699405
1038,76561197995066851
1039,76561197995474191
1040,76561197996410123
1041,76561198001654632
1042,76561198001921555
1043,76561198011298341
1044,76561198027868498
1045,76561198034070553
1046,76561198034841259
1047,76561198041486525
1048,76561198044993409
1049,76561198046896709
1050,76561198055027066
1051,76561198055639575
1052,76561198124870621
1053,76561198132555164
1054,76561197960869554
1055,76561197963876634
1056,76561197972100809
1057,76561197974553664
1058,76561197978431979
1059,76561197979975870
1060,76561197982933050
1061,76561197993298262
1062,76561197993699405
1063,76561197993757326
1064,76561198004783253
1065,76561198033723459
1066,76561198034070553
1067,76561198034841259
1068,76561198047300633
1069,76561198055639575
1070,76561198124870621
1071,76561198132555164
1072,76561197960274316
1073,76561197960442575
1074,76561197961150730
1075,76561197961793093
1076,76561197970098169
1077,76561197971252641
1078,76561197971255561
1079,76561197972384491
1080,76561197974553664
1081,76561197975383448
1082,76561197975502205
1083,76561197978413983
1084,76561197986083718
1085,76561197989081611
1086,76561198032371465
1087,76561198035204727
1088,76561198041976365
1089,76561198043631176
1090,76561198044034328
1091,76561198047308714
1092,76561198048364234
1093,76561198063135279
1094,76561198067858794
1095,76561198068856313
1096,76561198070166383
1097,76561198076865604
1098,76561198080409014
1099,76561198089105121
1100,76561198112059440
1101,76561198121206482
1102,76561198122221274
1103,76561198122999796
1104,76561198170676698
1105,76561198172823057
1106,76561198258312373
1107,76561197974553664
1108,76561197978431979
1109,76561198009429076
1110,76561198015617621
1111,76561197960298430
1112,76561197960551020
1113,76561197962585156
1114,76561197966117227
1115,76561197966460559
1116,76561197967840995
1117,76561197968354969
1118,76561197968686689
1119,76561197969813967
1120,76561197969844591
1121,76561197969889955
1122,76561197970012720
1123,76561197970219677
1124,76561197970676149
1125,76561197970773853
1126,76561197971200127
1127,76561197972561238
1128,76561197974553664
1129,76561197974626110
1130,76561197976575662
1131,76561197977177949
1132,76561197977295424
1133,76561197977381743
1134,76561197977928309
1135,76561197977975410
1136,76561197979274594
1137,76561197979951396
1138,76561197982142861
1139,76561197982689994
1140,76561197982972762
1141,76561197984221312
1142,76561197984610851
1143,76561197985037282
1144,76561197985530676
1145,76561197985539388
1146,76561197985855820
1147,76561197986180878
1148,76561197987051066
1149,76561197987551641
1150,76561197988565342
1151,76561197988990259
1152,76561197989259260
1153,76561197989921444
1154,76561197990320578
1155,76561197991133485
1156,76561197991472834
1157,76561197991823739
1158,76561197992104661
1159,76561197992201585
1160,76561197992363651
1161,76561197992656089
1162,76561197993213252
1163,76561197993225364
1164,76561197993675175
1165,76561197994222950
1166,76561197995307044
1167,76561197995488917
1168,76561197996073076
1169,76561197996315395
1170,76561197996430185
